ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
14581,с.,Гега,BLG,BLG33,BLG33-07,3,7,7,1901,SW,971
14605,с.,Гела,SML,SML31,SML31-00,3,8,8,1901,S,972
14619,с.,Гелеменово,PAZ,PAZ19,PAZ19-05,3,6,4,1901,S,973
14647,с.,Генерал Гешево,KRZ,KRZ08,KRZ08-03,3,7,7,1901,S,974
32740,с.,Генерал Инзово,JAM,JAM25,JAM25-15,3,6,3,1901,SE,975
14653,с.,Генерал Кантарджиево,VAR,VAR02,VAR02-04,3,7,3,1901,NE,976
14667,с.,Генерал Киселово,VAR,VAR09,VAR09-04,3,7,4,1901,NE,977
14670,с.,Генерал Колево,VAR,VAR09,VAR09-05,3,7,4,1901,NE,978
14684,с.,Генерал Колево,DOB,DOB15,DOB15-00,3,8,4,1901,NE,979
14698,с.,Генерал Мариново,VID,VID09,VID09-09,3,7,2,1901,NW,980
58390,с.,Генерал Тодоров,BLG,BLG33,BLG33-33,3,6,2,1901,SW,981
14711,гр.,Генерал Тошево,DOB,DOB12,DOB12-00,1,3,4,1901,NE,982
14725,с.,Генерал Тошево,JAM,JAM25,JAM25-07,3,6,4,1901,SE,983
14708,с.,Генералово,HKV,HKV28,HKV28-01,3,7,1,1901,S,984
14742,с.,Геновци,GAB,GAB05,GAB05-00,3,8,6,1901,N,985
14756,с.,Генчовци,GAB,GAB05,GAB05-00,3,8,5,1901,N,986
56304,с.,Генчовци,GAB,GAB35,GAB35-00,3,8,6,1901,N,987
14762,с.,Геня,GAB,GAB12,GAB12-00,3,8,5,1901,N,988
14773,с.,Георги Дамяново,MON,MON14,MON14-00,3,5,4,1901,NW,989
14787,с.,Георги Добрево,HKV,HKV17,HKV17-03,3,7,3,1901,S,990
14800,с.,Гергевец,SLV,SLV20,SLV20-09,3,6,3,1901,SE,991
14814,с.,Гергини,GAB,GAB05,GAB05-05,3,7,5,1901,N,992
14831,с.,Герман,SOF,SOF46,SOF46-55,3,4,6,1901,SW,993
18589,с.,Гецово,RAZ,RAZ26,RAZ26-03,3,5,4,1901,N,994
14859,с.,Геша,GAB,GAB12,GAB12-00,3,8,5,1901,N,995
14862,с.,Гешаново,DOB,DOB15,DOB15-00,3,8,4,1901,NE,996
