kmetstvo,name,center,document,category
HKV34-34,Узунджово,75085,2,
HKV34-35,Широка поляна,83288,660,
JAM03-01,Воден,11658,1896,
JAM03-03,Голямо Крушево,15881,1896,
JAM03-10,Малко Шарково,46704,1896,
JAM03-11,Мамарчево,46958,2,
JAM03-13,Попово,57652,1896,
JAM03-16,Стефан Караджово,69208,2,
JAM03-18,Шарково,83051,1896,
JAM07-02,Бояново,06001,2,
JAM07-05,Гранитово,17748,2,
JAM07-08,Изгрев,32576,2,
JAM07-11,Лесово,43459,2,
JAM07-12,Маломирово,46797,2,
JAM07-13,Малък манастир,46904,2,
JAM07-14,Мелница,47768,2,
JAM07-15,Пчела,58801,2,
JAM07-16,Кирилово,36909,1896,
JAM07-17,Раздел,61738,1896,
JAM07-18,Жребино,29516,1896,
JAM07-19,Трънково,73328,1896,
JAM22-01,Александрово,00343,1896,
JAM22-02,Атолово,00816,1896,
JAM22-04,Воденичане,11661,2,
JAM22-05,Войника,11908,2,
JAM22-07,Зимница,30898,2,
JAM22-09,Иречеково,32771,2,
JAM22-10,Каменец,35794,2,
JAM22-12,Лозенец,44118,2,
JAM22-13,Люлин,44666,1896,
JAM22-16,Палаузово,55244,1896,
JAM22-19,Първенец,59046,1896,
JAM22-20,Маленово,46303,1896,
JAM22-21,Джинот,20804,1896,
JAM22-22,Недялско,51384,1896,
JAM22-23,Поляна,57409,1896,
JAM22-24,Тамарино,72076,1896,
JAM22-25,Чарда,80220,1896,
JAM25-02,Безмер,03229,2,
JAM25-04,Ботево,05863,2,
JAM25-05,Бояджик,05952,2,
JAM25-06,Веселиново,10776,2,
JAM25-07,Генерал Тошево,14725,1896,
JAM25-08,Голям манастир,15789,2,
JAM25-09,Гълъбинци,18259,1896,
JAM25-10,Дражево,23501,2,
JAM25-13,Завой,30096,2,
JAM25-14,Златари,30956,1896,
JAM25-15,Генерал Инзово,32740,1486,
JAM25-16,Кабиле,35028,2,
JAM25-17,Калчево,35609,2,
JAM25-21,Крумово,40018,2,
JAM25-22,Кукорево,40484,2,
JAM25-23,Маломир,46783,2,
JAM25-27,Могила,48787,2,
JAM25-28,Овчи кладенец,53299,2,
JAM25-29,Окоп,53480,2,
JAM25-30,Победа,56873,2,
JAM25-31,Робово,62757,1896,
JAM25-32,Роза,62921,2,
